,number,日付,ユーザー名,コメント
1191,120-1,2時間前,Tom......,この人の何を信じればいいのかわからない。未確認って調べてないだけじゃないの？
1192,120-2,2時間前,att*****,確認される前に先手を打たなくてどうするのー！
1193,120-3,2時間前,*gh****,"加藤さん、そんなの日本でも見つかるのは時間の問題でしょ。
それを見据えて今から検討、対策するのが政治家さん達の仕事でしょ。"
1194,120-4,2時間前,mai*****,"何でかわからんけど、日本って、こういう調査や判断するのが遅いよね。
単純に技術が遅れてるからなのか、組織や体制の問題なのか、あるいはそれ以外の理由があるのか。
いずれにしろ、政府が未確認と言っても信用できないことだけは間違いない。"
1195,120-5,2時間前,nek*****,確認してからでは遅いですし、イギリスよりも中国、韓国の入国ストップを！
1196,120-6,2時間前,wrk*****,政府の春節時の対応の不手際、危機感の無さ（甘さ）が、今、こうして国民や経済にコロナの大打撃を与え、不安におとしめていることを思い出し、繰り返さぬよう、速やかに事案の重さと脅威を認識し、国として適切な策を講じ対応して欲しいものだ。
1197,120-7,2時間前,kat*****,"どうせ今のまま外国人を入国させるので時間の問題。
また人災が続きますね。"
1198,120-8,2時間前,out*****,"感染の確認がされてないが、

来年のオリンピックもあるから、今後も異種の感染は日本では確認できないで押し通すつもりです

って事"
1199,120-9,2時間前,Hitaka,どこから入ってくるかわからんから外国からの入国をまた厳しく、もしくは禁止にしてよ。今ビジネス目的での出入国を緩和してんでしょ？また誰かが持ち込む可能性0じゃないでしょうが。
1200,120-10,2時間前,ko***,未確認とかいいから、大至急防疫して下さい。国民の命がかかっています。大至急!
1201,121-1,2時間前,cha*****,"時間の問題でしょ。
そのうち国内でも確認のニュースが出ると思う"
1202,121-2,2時間前,yas*****,時期に出るだろう！
1203,121-3,2時間前,ジョグ,欧州はロックダウン、ロックダウンができないなら緊急事態宣言を今やるしかないだろう。
1204,121-4,2時間前,gom*****,"本当ですか？
確証は無いと思います。"
1205,121-5,2時間前,big*****,"1年も経てばウイルスも変異、進化するのは当たり前だしねぇ。
どう変異するか、したか、を確認・対処する事が大事。
日本のウイルスも当然日本人に合わせて変異すると考えるのが妥当だろうなぁ。
個人で出来る対策は引き続きしないとです。
あとは研究者さん達にお任せするしかないです。"
1206,121-6,2時間前,blu*****,"これで海外から入ってきたら
全て加藤の責任。"
1207,121-7,2時間前,yut*****,"感染症対策の基本は「隔離」だ。今、国境を開いている場合ではない。
変異種が生まれているのならが、関連した国からの流入だけでも止めてほしいと思う。

経済については、今一度、国内の内需で経済を回すように変革をするチャンスではないかと思う。"
1208,121-8,2時間前,ho@@,"こんな嘘つきホラ吹き信用ならん奴の話なんか、誰が信じるんよ
冗談は存在たげにしておけ"
1209,121-9,2時間前,hir*****,"それが分かった時点で入出国を全面停止すべきやないんかなぁ。
そこに想像が及ばない時点で国を管理する者としてダメでしょ。"
1210,121-10,2時間前,mkondotateoga※※※※※※,仮に確認できていても、確認されていないと言うだろうね、現在の菅、二階、公明党政権は
1211,122-1,2時間前,naz*****,信用出来ないし、しない方がいい。
1212,122-2,2時間前,Gフォース,"時間の問題だよバカ者！
現在「コロナ変異種」が確認されてなければいいって問題じゃないだろうに
自分ら能無し政治家が、海外からの渡航者を国内に垂れ流しにしている以上は、いつ何時に変異種の拡散が見つかってもおかしくないんだぞ！
頭の中に脳ミソは入っているのか？
とぼけた面して、国民を舐めた会見をするな！"
1213,122-3,2時間前,m3b*****,"今じゃないと思う。
直近の状況を予測しな！
増えてからじゃ　手遅れってわからんの？"
1214,122-4,2時間前,sel*****,"ただ単に見分けてないだけじゃ？
陰性と陽性の判断しかしてないような気がする"
1215,122-5,2時間前,gek*****,確認されるものとして対策を進めるのではなく日本の政府、役人は問題が深刻になってから「どうしましょうか？」と進み始める。
1216,122-6,2時間前,toy*****,また、ちんぷんかんぷんの発表ですか！もう出てこないでいいですよ
1217,122-7,2時間前,mir*****,"良くないことを言うと、変異したウイルスだったら日本が終わるのかな？と。
厳しいですね汗
政府は厳しく出来ないから。"
1218,122-8,2時間前,ぶんぶん,"国内未確認というのは簡単ですが、そもそも確認作業はきちんと行っているかが不透明。
下から上がってくる情報をただ待っているだけだと未確認とすぐ言えるよ。"
1219,122-9,2時間前,sta*****,"見つかってからでは遅すぎる！
今出来ることはたった一つ。
入国制限です。"
1220,122-10,2時間前,bat*****,"今後も次々変異する可能性があるということです。不安が現実的になるなかなぜこの人はへらへらしながら何でもないといい切るのでしょうか。
国民を言いくるめるようにしか頭を使わないのでしょうか。"
1221,123-1,2時間前,vr*****,"ほんとすっとぼけた顔してて頼りにならん

国の要の仕事してますよね？"
1222,123-2,2時間前,yoy,"外国人の流入が始まれば、必ず国内に持ち込まれ感染拡大は必死

オリンピックなどと言いながら金に操られる団体のいいなりになっていては、この国は終わる。

外国の人は新規感染が無くなってからでいいんじゃない？

仕事はリモートでできるはず"
1223,123-3,2時間前,rzc*****,この人は「転ばぬ先の杖」と云うコトバを知らんのか？変異種が確認される前にどう対応/対処するのか考えて(準備して)おくのが貴方たちの仕事でしょ？又、変異種が確認される前に入国制限緩和を止めろ！
1224,123-4,2時間前,ich*****,"今見つかってないのか、隠蔽体質の政府なので隠してるのか分からないがどの道今の対応のままではいずれ入ってくる。
どうして先手を打てないのか？
また得意の後手後手になるのか？
ほんまにこの政府は酷い。
早く総員退陣してくれ。"
1225,123-5,2時間前,ram*****,“今は”　な！
1226,123-6,2時間前,das*****,"今確認されていなくても近い将来確認されるでしょう。外国からガバガバ入国させているわけですから。
国民はこの政権に期待せずに諦めの境地です。"
1227,123-7,2時間前,dfo*****,"この人の言うことは、聞きません！
今の段階では未確認だけの話よね。
近いうちに日本にも来るね。
入国制限はしないし、どうなってんだ！"
1228,123-8,2時間前,lex*****,自民党の使えない議員たちはコロナといっしょに消えてなくなれ！
1229,123-9,2時間前,おたまさん,"確かなのならそれはいいこと。
ではそのヨーロッパの変異種の国内流入を全力で防いで下さいね。
それが政府のお仕事です。"
1230,123-10,2時間前,meo*****,確認されたら、確認されましたと言うだけ。　無能政府。
1231,124-1,2時間前,shi*****,入国規制を今すぐに実施すべき。素早い対応が、ガースーの汚名挽回のチャンス。でもこんな茶坊主みたいなカトーじゃ進言できないだろうなあ。
1232,124-2,2時間前,son*****,信用できない人間。
1233,124-3,2時間前,olh*****,"外国からの人を止めてないので、変異ウィルスは時間の問題で日本に上陸します。
政府の無策、無能には呆れてもうどぉ～でも
え～わぁ。たぶん今の政府は日本を滅ぼそうとしてる。チャイナにアメリカ以上に政治家
や司法、検察もすでに侵食されてる可能性大
第二次の安倍さんはたぶんそこと戦ってたん
ちゃうかな？時すでに遅し。最後の望みは
トランプさんに再選してもらうのが最低条件。日本自らの自浄は不可能でトランプさん
だよりになる。"
1234,124-4,2時間前,awl*****,国内でウイルスの変種までちゃんと調べてるの？
1235,124-5,2時間前,t_a*****,日本で確認してからでは遅い 頭悪い私でも わかる！
1236,124-6,2時間前,m01*****,"未確認のうちに、この先変異種や新しいのを入れないように、できる事は何か、対策しておかないと！！
オリンピック、本当に、危険だと思うよ、、。"
1237,124-7,2時間前,※※魚,"確認されてからじゃ遅いと思うけど

全てにおいてやる事が遅いよね

おじいちゃんたちののんびり脳じゃ追いつかないのかね"
1238,124-8,2時間前,cha*****,"というよりも､以前に貴方は武漢型と東京型の区別すら付けることのできていなかった元厚労相だったのではありませんか？｡
今現在国内で感染拡大しているCOVID19ウィルスですら元々の東京型から変異している可能性もあり､そこにもし新たな変異種との接触が起これば､現在開発中のワクチンでは対応できなくもなります｡
貴方が知った時には既に治療の最前線にいる医療スタッフをはじめ専門家鍵のメンバーそして一般の人からは常識になっていますよ｡
現場知らずの人間はこれ以上何も言うな！"
1239,124-9,2時間前,fut*****,加藤官房長官の目がラクダの目に似てると思うのは私だけ？
1240,124-10,2時間前,aki*****,とりあえず、入国制限。
1241,125-1,2時間前,,"ニュースやYouTubeが国より早く発信している！
この政"
1242,125-2,2時間前,roy*****,未確認どうこうの前に海外からの渡航を拒否しろよ。
1243,125-3,2時間前,masa※※※※,毎回毎回後手後手の対処療法。だから医療崩壊が始まっているんじゃないのか？何故政府は危機感のない呑気なバカ大臣ばかりなのか？本当に呆れる。
1244,125-4,2時間前,yu_*****,"イギリスじゃ9月にもう出てたんだろ？
イギリスから日本より遠いオーストラリアで確認されてるってことはもう入り込んでると考えていいでしょ。

コロナRNAの追跡はどこがやってるのか？"
1245,125-5,2時間前,spe*****,まったくもって信用できない！
1246,125-6,2時間前,sai*****,"まさか、海外からの入国者を制限する気はないとか言いださないだろーな？
今年の中国の春節で入国規制をしなかったのが、日本でのコロナの始まり。それを、また繰り返すのか？"
1247,125-7,2時間前,gen*****,国民との信頼関係は皆無。直ぐにでも議員辞職して欲しい。
1248,125-8,2時間前,寿司食えねえ,既に英国以外のイタリアでも発見されてるしね。それにこの変異種もイギリス生まれってわけじゃないと思うね。ただチョット怖いのはこの変異種がアップグレードしたような場合、今までは感染しても無症状だった人にも症状が出るようなら感染力70%増し以上の甚大な被害が出るだろうね。こんなに短期間に変異種がでるウイルスは初めてだな。
1249,125-9,2時間前,kur*****,"信用に値しないコメント
毎回嘘ばかり"
1250,125-10,2時間前,kum*****,だから！！入ってこないように策を取れと言っているんだよ！このボケ！
1251,126-1,2時間前,dea*****,"「未確認」なんじゃなくてどうせ「確認情報を握り潰してる」んでしょ??

あと未確認だからどうとかいう次元じゃなくて
国内でも今後確認されることを前提にどう対処する予定なのかを示してくれよ…

ガースーを筆頭に今の官邸には不適合者しかいなくてちょっと恐ろしいんだが…"
1252,126-2,2時間前,sk1*****,"相変わらず
『注視』ばかりで
何も対策しない
日本政府。

自己防衛しか
出来ません。"
1253,126-3,2時間前,cha*****,"だったらなおのこと早急に対策を立てるべき。

まさか確認されてから対応する、なんてこといいませんよね？
これまでの政府の対応を見る限りそう言いかねないところが恐いです。"
1254,126-4,2時間前,nek*****,今は入っていない。でも、このまま無策では明日はわからん。早急に鎖国を。最低限入国者は空港でPCR検査の強制実施、結果出るまで隔離！
1255,126-5,2時間前,Tori*****,"昨日付のニュースでも、海外から来た25人が感染していたとありましたね。
欧州での変異もありますし、とにかく海外からの入国は制限してほしいです。"
1256,126-6,2時間前,kou*****,"第一波の二の舞にならないよう、早く渡航·入国禁止を。
国は、国民のためにあるものでは？"
1257,126-7,2時間前,man*****,"[今は]未確認ってことだよね。ウィルスに対して入国制限できる訳じゃないし日本に入ってくる可能性は大いにある。入ってきてないから大丈夫なんてことは絶対にない。
変異種がが入ってきた！どうしよう！対策しなきゃ！じゃ遅いんだよ。先を見据えて入ってきたらこうしようとか対策練れないの？
その場その場の行き当たりばったりなことしか言えず、耳にたこができるほど聞き飽きた台詞をどや顔で言って、具体的な対策や先を見据えた政策を打てない政府には何言っても無駄だけど。

用意された原稿を読むだけ、悲痛な叫びを上げている医療現場は無視、先を読めない場当たり発言、考えているのは自分のお友だちと懐…なんでこんな人たちが高給取りなんだろ？なにもしてないじゃん。"
1258,126-8,2時間前,police,未だ確認されていないから存在しないということではない。政府は最初から積極的に確認しようとしていないし全数検査すらも出来ておらず、既感染者の一部しか認識できていないから何も答えようが無い有様ということです。
1259,126-9,2時間前,rei*****,"信用でいない。
未確認と言いつつ蔓延してそう。
コロナ関連でいつも後出しばっかり！"
1260,126-10,2時間前,jcb*****,一番恐れていた事が起き始めた！ワクチンが普及すらまだだのに、変異するとは！政府はどう動くか？外国からの受け入れを阻止しなくては！
1261,127-1,2時間前,alfa,"まあ春節の観光客ほしさに
初期対応に失敗したことを
忘れるなよ"
1262,127-2,2時間前,abo*****,海外から人入れてる政策してるだろ！なんなんだコイツらマジで！
1263,127-3,2時間前,mer*****,すぐに確認されるしされた時には手遅れだよ
1264,127-4,2時間前,sil*****,"安心しました。したら直ちに入国制限すれば止められますね！
あれー？なんでしないんですかー？ちょっとー！"
1265,127-5,2時間前,hax*****,バカ面下げて偉そうにするなよ。こいつらの選挙区民に責任取らせて財産没収しろ
1266,127-6,2時間前,tan*****,初期型でさえ一年経って未だに収束の兆しも見えないのに変異型を半年足らずで収束出来るとでも思ってるようなI・JOCのだんまり。
1267,127-7,2時間前,bet*****,これから入ってこないようにするのが重要なんですよ。頼みますよ、ほんと。
1268,127-8,2時間前,mih*****,"元々変異しやすいウイルスなので、英国で流行してる変異種が日本で確認できてない＝安心ではないと思う。
今日本全国で流行しているのは第2波で変異した東京型らしいけど、この東京型がこれからどう変異するか分からないし、広島型、大阪型、北海道型へ変異して、感染力が強力になったり致死率が高くなる可能性もある。

…のに、政府が気にしてるのはGOTO再開のタイミングばかりですもんね。
政府が全然頼りにならないから、個々人が自分で報道やYouTubeのワールドニュースから情報を集めて判断するしかない。
今の日本はどこの共産主義国、どこの独裁国家なんだろってレベル。"
1269,127-9,2時間前,hau*****,春節というはした金のために中国人の来日を阻止できなかったことを教訓にできないのか。海外からの入国者がなんで陽性のまま入国するのかわけわからない。乗ってきた飛行機で送り返せ。医療費負担をこれ以上増やすな。ともかくマスコミは馬鹿の一つ覚えみたいにコロナの分母あやふやな人数ばかり連呼してないでその内容、国籍をきちんと取材して発表すべき。報道するなら取材を重ねて外国人をストップさせて防疫するべきと騒いだらどうか。
1270,127-10,2時間前,眠だるい人,把握してないとか、知らないって言った方がいいのでは？
1271,128-1,2時間前,fvd*****,"加藤
適当に原稿読んでるだけだろ。

原稿音読ロボ菅の後任
原稿音読ロボ加藤

ちゃんと調べてこい！"
1272,128-2,2時間前,*******,お前の話は信じられない。
1273,128-3,2時間前,tfo*****,あなたの言うことはもう何一つとして信じません
1274,128-4,2時間前,rce*****,国内で確認されるまで、何もしないのですかね？
1275,128-5,2時間前,g*******,"ダイヤモンドプリンセスと第一波でやらかしたこの人が言うことは信用できない。
失敗を繰り返さず、国内に持ち込ませないように先手を打った対応をしてください。"
1276,128-6,2時間前,boy*****,加藤氏の言葉は信用できるの
1277,128-7,2時間前,Qwert,で？もちろんですが，即刻ヨーロッパからの飛行機を止めてくれるんですよね？
1278,128-8,2時間前,chi*****,くるかなくるかなぁ〜、変異したコロちゃん来るかなぁ〜🤗
1279,128-9,2時間前,iro*****,菅内閣や２Fや自民党のほうが、国民から見れば変異種だわ。
1280,128-10,2時間前,green light,国内で確認されてからでは遅いのでは？
1281,129-1,2時間前,シャケ定食美味しいね,歴代最悪の大臣だ
1282,129-2,2時間前,hin*****,この加藤という男…くえねーヤローだ。こいつ見ると、カワセミに似てる。頭が、ツンツンして、目がギョロっとして、口がちょっととんがってて…。
1283,129-3,2時間前,rka*****,"厚労省の操り人形だった無能にしか見えないよ、こいつは。

こんなのが官房長官とか情けなさすぎる。

笑うセールスマンみたいな顔がなお更まぬけに思わせる。

大関の能力しかないのに横綱に成って居る総理と関脇クラスの能力の人間が大関に成っている官房長官ってところだろう。

日本国民の民度の結果だから、何ともし難いものだ。"
1284,129-4,2時間前,bal*****,"前に偉い方が東京型、埼玉型とか言っていたのは違うのか???
よくわからん。"
1285,129-5,2時間前,rak*****,武漢からの入国規制が遅かったのは、誰？
1286,129-6,2時間前,yok*****,予防って概念が政府には無いのかと疑ってしまう。緊急事態宣言の時からだけど尻に火がついてやっと動き出す印象がどうしてもある。政府がそういう姿勢だから国民だってそうなる。
1287,129-7,2時間前,shi*****,"ここまで信用出来ない官房長官って過去に類を見ないな。何を言っても信憑性ゼロ！
ってか、マイナス！"
1288,129-8,2時間前,kei*****,怪しい
1289,129-9,2時間前,aon*****,"夏頃に東京型とかエピデミックとか言いっぱなしでダンマリだったが
あれは結局どうなったんだ"
1290,129-10,2時間前,hok*****,"臭い物に蓋をする
入ってきてないというエビデンスを示せよ。
つかえねーな"
1291,130-1,2時間前,welldone,パニックが先の反応はやめて欲しい、成長しない国民には飽きた。
1292,130-2,2時間前,土風鈍介,"どうして変異種だと大騒ぎしているのか、全く理解できませんわ（笑）
常にウイルスは変異しており、最近でも「東京由来の」ウイルスが地方に拡散している、なんて記事が出てたでしょ。
お忘れか？
「東京由来」とは、すなわち東京で変異したことです。
既に何十（何百、何千？）という単位で変異しています。
問題はイギリスでの変異種が致死率が高いものなのか、ということです。
単に感染力が高い（すなわち悪性度が低いと思われる）だけの話だ。

なお、大まかに言えば、他動物を介した変異は結構致死率が高くなる傾向がある。"
1293,130-3,2時間前,ういろう,政府の口からでる言葉は信用できない
1294,130-4,2時間前,ax*****,"お前らが何を言おうが信憑性ゼロなんだよな。
嘘しか言わない政府なんかさっさと辞めろ。"
1295,130-5,2時間前,ryo*****,"いちど貼られたレッテルの効力というのは大したもので、
たとえば平気で嘘をついたり他人に禁じていることを自分たちだけは構わないとやってのけたり。
そうして貼られたレッテルが足かせとなり、いくら声高に理想を掲げても誰も付いてこなくなる。"
1296,130-6,2時間前,new*****,"欧州からのエアラインの乗り入れを一時停止するのが先でしょ。
水際対策がザルすぎる。"
1297,130-7,2時間前,tof*****,"遅いわ。
欧州の国の中にはもう封鎖している国もあるのに。

1年前、中国が感染が確認されているのに、ただサーモで入国者をチェックし、多くの感染者を北海道を初めとする観光地に放ち、今の状況になっているのをまた見ぬ振りする。
入ってきてから対応しても、無能無策の内閣では対応できない。"
1298,130-8,2時間前,fas*****,"もし確認されたら、明確な人災だよね。
海外からの入国者にPCRの結果関係なく一律で2週間の強制隔離をしなかったツケだね。"
1299,130-9,2時間前,sb*****,"加藤氏はいつも目元がにやけていて印象が悪い。
終始他人事の感じ。"
1300,130-10,2時間前,nob*****,"日本政府が「外国人の入国制限を緩和したまま」だと
来年を待たずに変異種が日本へ流入することになると思うんだけど。

加藤さん？"
1301,131-1,2時間前,kinnkanntei,"未確認＝わかりません。

入国規制を、即刻、緩和前に戻して！"
1302,131-2,2時間前,Kz,また「遅すぎた」と、ならないように対策をしなさい。
1303,131-3,2時間前,hagetaro22,今のうちに入国止めてください
1304,131-4,2時間前,min*****,おいおい、こんな政府に任せて大丈夫でスカ?　市民の事など考えていないんだよ!
1305,131-5,2時間前,bri*****,"政府はこのまま蔓延するまで何もしないに1票。

蔓延してからも何かできるとは思わないが。"
1306,131-6,2時間前,kon*****,"感染力が上がってるらしいので、
確認されてからじゃ遅いです。
欧州からとは限らないし、
今のうちから鎖国してください。"
1307,131-7,2時間前,ryo*****,"確認されてからじゃ遅いぞー！
泥棒に入られてから捕まえるのでなく、入られないように予防対策するでしょ？それと同じで外国人の入国を止めればよろしいのでは？
変異種みつかりました！さぁやっつけましょ！それで間に合うの？？"
1308,131-8,2時間前,mir*****,"この人に言われても…
全く信じられん。"
1309,131-9,2時間前,wil*****,この人の言う事は全く信用できないな。
1310,131-10,2時間前,oxn*****,日本で確認されてないんだったら、入ってこないように対応するのが一般的じゃないのかな。
1311,132-1,2時間前,,そんなの時間の問題や…
1312,132-2,2時間前,MIU,"だから何なんだ
今後の対策や見解はどうなんだ"
1313,132-3,2時間前,san*****,RNAウイルスは常に変異していますよね。それが毒性が強いか弱いかが問題。日本ではgotoばかりがやり玉に上がっているが、10月から外国人の入国緩和と比例して検査陽性者が増えてるとも言えないだろうか。
1314,132-4,2時間前,pat*****,"見つからないためにどうしたらいいのか？
それを考えてほしいわけ。
見つかってないとかそんな事じゃなくって！"
1315,132-5,2時間前,j_s*****,"もうオリムピックはダメだな！
早く中止を決断しろ！
本当であったとしても、
時間の問題。"
1316,132-6,2時間前,su1*****,今出ていなくても、これから出る可能性があるでしょう。出てからでは遅い。やはり、この政権、仕事が出来ない。
1317,132-7,2時間前,ker*****,"デマカセだらけで菌をばら蒔く政策ばかり。
バカだけが乗っかりまた菌をばら蒔く。"
1318,132-8,2時間前,kib*****,確認されていないなら入出国をただちに禁止しないと！！！！！
1319,132-9,2時間前,sh0*****,ここから本当の地獄だ
1320,132-10,2時間前,ttt,基本信用してません。多分確認していても言わないだけだと思う。と言うよりそう思わせるようにしてしまった政府の臭いものには蓋を精神。うんざり。
1321,133-1,2時間前,gsk*****,何が悲しいってこの非常時に官房長官の言葉が国民に信用されていないこと。たとえ本当のことだったとしても「隠してるんじゃないの？」と思われる。嘘だったとしても「またか…」と怒る気力さえなくしている。とてつもない閉塞感と無力感。
1322,133-2,2時間前,m5poyon,笑うなマジメにやれって。
1323,133-3,2時間前,wzf*****,あなたの言うことは信じにくいな
1324,133-4,2時間前,いなにわうどんぶり,厚労省や感染研と政府の言うことは、全く信用出来ない。
1325,133-5,2時間前,oka*****,入国制限を厳にすべきですね。
1326,133-6,2時間前,tan*****,変種ということはこれまでの新型を基本に作られたワクチンは効かないのではないか。新型コロナ変種ヴァージャンが必要なのでは。
1327,133-7,2時間前,未完成人,DNAレベルで確認してないだけだったりして
1328,133-8,2時間前,bal*****,"またまた無能、カトチンバカ劇場の始まり始まり！

どうせ確認すらしてないんでしょう。
そりゃ未確認だわ、でもこれからの対策が必要。

それで何やるの？
今やる最善策は国民のほとんどが知っているが、教えてあげな～い。

どうせ何もしないから。"
1329,133-9,2時間前,※※１１・・・,"我が国では確認されていない

そのエビデンスはどこから？

DNAレベルでの検査を、PCR検査陽性者全員にしているとは思えない。"
1330,133-10,2時間前,bea*****,"何だろ。
確認されていないのはわかったので、そこからどうするか？は相変わらずないんだね…"
1331,134-1,2時間前,kqk*****,"ウソだよ。
もう変異ウイルスは国内に入っているよ。"
1332,134-2,2時間前,yuy*****,だから今閉鎖すべきでは…後手後手の政策はもう見飽きました
1333,134-3,2時間前,htm,"「国立感染症研究所によると、わが国で同様のウイルスは確認されていない」はわかった、では国として未然に日本国内に入れない対応作は何をするんだ？
そういうのがダメだからこんな状態になってるんじゃないかよ！"
1334,134-4,2時間前,eco*****,"外国からの入国を停めない限り、日本国内で蔓延するのは時間の問題です。

本当に島国の利点を活かせよ"
1335,134-5,2時間前,kce*****,またまたエビデンスがない…などと言い出すのでは？
1336,134-6,2時間前,kaz*****,インフルエンザも型がたくさんありますから想定内に入れるのが普通でしょ。
1337,134-7,2時間前,kam*****,"欧州からの入国制限直ちに　徹底的に実施して
ください。
コロナに関しては　一切　決断するのに
躊躇してはいけません。
年末年始のGotoを止めるタイミングの判断
は間違いでした。
内閣支持率　79%から39%に急落するのは当たり前です。　二階幹事長には　辞めてもらいたいです。国民の生命をないがしろにする人に
政権の重要ポストにいてもらいたくないです。"
1338,134-8,2時間前,ike*****,"コロナの変異種が国内未確認だと言う事は解りました。
それだけ？官房長官とあろうお方が、今感染力の強い変異種が出てきて騒がれてきて
国民が『良かった、日本にはまだ、入ってきてないんだと』とあなたの話で納得して
安心すると思いますか？
いま、どんどん海外からの外国人の客たちの制限を緩めてますよね。
コロナの変異種を絶対に日本国内に入れないようにするために、こういう対策を
たてて、完璧に変異種を阻止しますという対策を国民に説明する事が大事なのでは。
未確認だが、今後か入ってくる可能性を考えて、いかに対応していくか、考えて
発言してくれないと、未確認でしたじゃ、話にならないでしょう。
今、未確認でも、今後も未確認となるような対策を立てて発表しなさいよ。
そんな事も官房長官がわからんのですか！
わからないなら、さっさと辞任してくれ！"
1339,134-9,2時間前,hqz*****,"確認できていないのは確認調査作業をしていないのではないのか？
どうもごまかし論法ばかりの官房長官様の物言いは信用できない！！"
1340,134-10,2時間前,fwh*****,国内未確認なら確認されないように入国管理をもっと厳格にするべきだろう。
1341,135-1,2時間前,goldrush0089,加藤くんはともかく、封じ込め第一！
1342,135-2,2時間前,luc*****,早く外国人の入国を止めるべきだ。この政府は又後手にならないようにしろ。
1343,135-3,2時間前,yok*****,この無能う政治家の言うことはいいです　もとはゴーツーで東京都民が大移動するからひどくなった　地方もこうなること覚悟で受け入れてるのでしょう　なきごというな　最初からすべて自粛してよくなってから徐々にはじめてればいいものを　今更言ってもむだかホンとバカ日本人　批判だけはいっちょまえにか
1344,135-4,2時間前,耳にタコが出来るほど囁いて！,コロナを放置してるからね……未確認はあたりまえだし、そもそもコロナは肉眼では見えない。
1345,135-5,2時間前,goi*****,確認されていないからこそ、今やるべきなのではと思います。
1346,135-6,2時間前,sar*****,「確認されていない」では無く「何もやってない」の間違えでしょ？か、ホントに隠してるかだね。加藤くんなんて信用できないからな。確認できてない事を立証してください。
1347,135-7,2時間前,dokechi,"変異種が日本に入って来てからでは手遅れになる。
ただちに入国禁止措置を。

日本に入ってきたら・・・次の選挙がどうなるか、わかっているだろうな？"
1348,135-8,2時間前,tak*****,"いや、もう来てると見て間違いない。
いまごろは山手線ぐるぐる乗ってるかもしれない…"
1349,135-9,2時間前,sat*****,"五輪もあるし政府の想像力が問われますね。
行き当たりばったりの対応だと今回は不安ですよ。
現状報告ではなく具体的な対策を示してくださいな。"
1350,135-10,2時間前,hor*****,早く手を打てよくそ加藤
1351,136-1,2時間前,ナナシ,今回は早いコメントでしたね。あとは、海外から如何にして持ち込ませない様にするか、、、今年春のような失態は繰り返さない様にしたいものです。よろしくお願いします。
1352,136-2,2時間前,mqc*****,どこまで馬なんだ？
1353,136-3,2時間前,sat*****,じゃあ、イギリスとの往来止めとけば？未確認のままで居られると思うけど
1354,136-4,2時間前,累進課税反対 議員の給料を平均収入に。,信用ないってこの事だな
1355,136-5,2時間前,jew*****,まともな人達は こいつらの言うこと信じてないから大丈夫です！
1356,136-6,2時間前,yeet,"あまり信用できない。
早めに外国人の入国緩和をやめた方がよい。"
1357,136-7,2時間前,ma,あなた達も異変種
1358,136-8,2時間前,az1*****,小学校の延長である議会は暖房で空気感染蔓延させない為窓や扉は全開放で子供達に範を
1359,136-9,2時間前,GoToトラブル,ウィルスの性格？ウィルスに性格など無い、性質では。
1360,136-10,2時間前,fbh*****,"外国人日本人入出国禁止してしまえ!

この世中何が大切なのか…わからなくなる前に…。"
1361,137-1,2時間前,drl*****,未確認って、他人事であり、確認されたらイギリスみたいにロックダウンするの？出来るのか？って。何の対策もなくズルズル１年が経とうとしていますが、政府の後手後手の遅い対応に不信感が増す一方だ。
1362,137-2,2時間前,物言う一般人,"そんな能書きはどうでもいいんだよ！
イギリスからの便を止めるべきだろ？
やる事が遅いんだからさー。
ちゃっちゃとやれよ！
クソ政治家！"
1363,137-3,2時間前,hap*****,信じてません
1364,137-4,2時間前,pte*****,顔だけで信用できない。
1365,137-5,2時間前,abc※※※,オリンピックは無理だねこりゃ
1366,137-6,2時間前,mam*****,"EUと情報交換してると言っても感染研のデータちゃんと精査しましたか？
どんどん入ってきますよ。この人の言うことは信用できない！また誤解ですと言うのでしょうか？"
1367,137-7,2時間前,ゆめちゃん,"こんな如何にも無能そうな人に言われても、全く信用できない。
自分達の都合の悪いことは隠すだろうし。"
1368,137-8,2時間前,rin*****,とりあえず入国審査検査の見直しをしましょう。
1369,137-9,2時間前,米人,もう政府発表も信頼性が無いようで 逆に不安を煽られているような
1370,137-10,2時間前,joh*****,"「見つかっていない」ということと「存在しない」ということは、まったく別問題ですよ。
でも、今の政策ぶりだと、どのみち変異種が上陸するのも時間の問題でしょうね。"
1371,138-1,2時間前,tha*****,今のところ我が家には空き巣は入っていないとして家の鍵開けっ放しにしといて、空き巣に入られたら鍵を閉めてやってますと言い、追加対策として防犯カメラつけようとしたら盗まれた物の補償に充てろよみたいに騒がれるようなもの
1372,138-2,2時間前,yam*****,現在の状況の中、大人数で忘年会とか会食とか変異な行動する政治家は多数いるけどね。
1373,138-3,2時間前,fre*****,大勢で会食してる政府の言うことをどう解釈すればいいの？　お前たちの懐にはいるための税金を払いたくない
1374,138-4,2時間前,mas*,インドの14歳の12月20日違うパンデミックが起きるの予言はこれだったら怖い。
